      0.099   1.01E+00  -1.99E-01   0.00E+00  -9.17E-01   2.84E-01   0.00E+00  -9.38E-02  -8.58E-02   0.00E+00 
      0.199   1.04E+00  -1.53E-01   0.00E+00  -8.51E-01   3.20E-01   0.00E+00  -1.91E-01  -1.67E-01   0.00E+00 
      0.299   1.06E+00  -1.06E-01   0.00E+00  -7.70E-01   3.46E-01   0.00E+00  -2.93E-01  -2.40E-01   0.00E+00 
      0.399   1.08E+00  -5.94E-02   0.00E+00  -6.75E-01   3.58E-01   0.00E+00  -4.00E-01  -2.98E-01   0.00E+00 
      0.499   1.08E+00  -1.27E-02   0.00E+00  -5.70E-01   3.51E-01   0.00E+00  -5.11E-01  -3.38E-01   0.00E+00 
      0.599   1.08E+00   3.40E-02   0.00E+00  -4.60E-01   3.23E-01   0.00E+00  -6.19E-01  -3.57E-01   0.00E+00 
      0.699   1.07E+00   8.08E-02   0.00E+00  -3.50E-01   2.74E-01   0.00E+00  -7.20E-01  -3.55E-01   0.00E+00 
      0.799   1.05E+00   1.27E-01   0.00E+00  -2.45E-01   2.08E-01   0.00E+00  -8.08E-01  -3.36E-01   0.00E+00 
      0.899   1.03E+00   1.74E-01   0.00E+00  -1.46E-01   1.31E-01   0.00E+00  -8.83E-01  -3.05E-01   0.00E+00 
      0.999   9.94E-01   2.19E-01   0.00E+00  -5.08E-02   4.69E-02   0.00E+00  -9.43E-01  -2.66E-01   0.00E+00 
      1.099   9.48E-01   2.62E-01   0.00E+00   4.26E-02  -3.94E-02   0.00E+00  -9.90E-01  -2.23E-01   0.00E+00 
      1.199   8.89E-01   3.02E-01   0.00E+00   1.37E-01  -1.24E-01   0.00E+00  -1.03E+00  -1.78E-01   0.00E+00 
      1.299   8.15E-01   3.33E-01   0.00E+00   2.36E-01  -2.02E-01   0.00E+00  -1.05E+00  -1.32E-01   0.00E+00 
      1.399   7.28E-01   3.53E-01   0.00E+00   3.41E-01  -2.69E-01   0.00E+00  -1.07E+00  -8.49E-02   0.00E+00 
