#Index            X            Y            Z         Mass
     2  1.03135E+00  1.69698E-01  0.00000E+00  1.00000E+00
     3 -1.55098E-01  1.38572E-01  0.00000E+00  1.00000E+00
     1 -9.37987E-01 -2.70244E-01  0.00000E+00  1.00000E+00
     2  9.97405E-01  2.15234E-01  0.00000E+00  1.00000E+00
     3 -5.97004E-02  5.50118E-02  0.00000E+00  1.00000E+00
     1 -9.86351E-01 -2.27552E-01  0.00000E+00  1.00000E+00
     2  9.52360E-01  2.58779E-01  0.00000E+00  1.00000E+00
     3  3.37003E-02 -3.12256E-02  0.00000E+00  1.00000E+00
     1 -1.02318E+00 -1.82424E-01  0.00000E+00  1.00000E+00
     2  8.94630E-01  2.98379E-01  0.00000E+00  1.00000E+00
     3  1.28251E-01 -1.15954E-01  0.00000E+00  1.00000E+00
     1 -1.05000E+00 -1.36189E-01  0.00000E+00  1.00000E+00
     2  8.22908E-01  3.30989E-01  0.00000E+00  1.00000E+00
     3  2.26784E-01 -1.94798E-01  0.00000E+00  1.00000E+00
     1 -1.06808E+00 -8.95535E-02  0.00000E+00  1.00000E+00
     2  7.36874E-01  3.52417E-01  0.00000E+00  1.00000E+00
     3  3.30880E-01 -2.62862E-01  0.00000E+00  1.00000E+00
     1 -1.07831E+00 -4.28298E-02  0.00000E+00  1.00000E+00
     2  6.38110E-01  3.57856E-01  0.00000E+00  1.00000E+00
     3  4.39868E-01 -3.15025E-01  0.00000E+00  1.00000E+00
     1 -1.08124E+00  3.89161E-03  0.00000E+00  1.00000E+00
     2  5.30626E-01  3.43299E-01  0.00000E+00  1.00000E+00
     3  5.50273E-01 -3.47189E-01  0.00000E+00  1.00000E+00
     1 -1.07702E+00  5.06164E-02  0.00000E+00  1.00000E+00
     2  4.20096E-01  3.07339E-01  0.00000E+00  1.00000E+00
     3  6.56575E-01 -3.57955E-01  0.00000E+00  1.00000E+00
     1 -1.06543E+00  9.73412E-02  0.00000E+00  1.00000E+00
     2  3.11801E-01  2.51958E-01  0.00000E+00  1.00000E+00
     3  7.53271E-01 -3.49298E-01  0.00000E+00  1.00000E+00
     1 -1.04586E+00  1.43947E-01  0.00000E+00  1.00000E+00
     2  2.08723E-01  1.81560E-01  0.00000E+00  1.00000E+00
     3  8.36774E-01 -3.25506E-01  0.00000E+00  1.00000E+00
     1 -1.01735E+00  1.90064E-01  0.00000E+00  1.00000E+00
     2  1.11065E-01  1.01292E-01  0.00000E+00  1.00000E+00
     3  9.05905E-01 -2.91356E-01  0.00000E+00  1.00000E+00
     1 -9.78560E-01  2.34897E-01  0.00000E+00  1.00000E+00
     2  1.69470E-02  1.59525E-02  0.00000E+00  1.00000E+00
     3  9.61227E-01 -2.50849E-01  0.00000E+00  1.00000E+00
     1 -9.27945E-01  2.76975E-01  0.00000E+00  1.00000E+00
     2 -7.65899E-02 -7.01519E-02  0.00000E+00  1.00000E+00
     3  1.00414E+00 -2.06822E-01  0.00000E+00  1.00000E+00
     1 -8.63974E-01  3.13873E-01  0.00000E+00  1.00000E+00
     2 -1.72662E-01 -1.52810E-01  0.00000E+00  1.00000E+00
     3  1.03623E+00 -1.61062E-01  0.00000E+00  1.00000E+00
     1 -7.85676E-01  3.42004E-01  0.00000E+00  1.00000E+00
     2 -2.73663E-01 -2.27422E-01  0.00000E+00  1.00000E+00
     3  1.05893E+00 -1.14581E-01  0.00000E+00  1.00000E+00
     1 -6.93484E-01  3.56770E-01  0.00000E+00  1.00000E+00
     2 -3.80267E-01 -2.88889E-01  0.00000E+00  1.00000E+00
     3  1.07333E+00 -6.78815E-02  0.00000E+00  1.00000E+00
     1 -5.90083E-01  3.53497E-01  0.00000E+00  1.00000E+00
     2 -4.90532E-01 -3.32340E-01  0.00000E+00  1.00000E+00
     3  1.08018E+00 -2.11564E-02  0.00000E+00  1.00000E+00
     1 -4.80441E-01  3.29157E-01  0.00000E+00  1.00000E+00
     2 -5.99850E-01 -3.54718E-01  0.00000E+00  1.00000E+00
     3  1.07985E+00  2.55615E-02  0.00000E+00  1.00000E+00
     1 -3.70354E-01  2.83902E-01  0.00000E+00  1.00000E+00
     2 -7.02408E-01 -3.56188E-01  0.00000E+00  1.00000E+00
     3  1.07231E+00  7.22863E-02  0.00000E+00  1.00000E+00
     1 -2.64223E-01  2.21030E-01  0.00000E+00  1.00000E+00
     2 -7.93409E-01 -3.40005E-01  0.00000E+00  1.00000E+00
     3  1.05717E+00  1.18976E-01  0.00000E+00  1.00000E+00
     1 -1.63730E-01  1.45487E-01  0.00000E+00  1.00000E+00
     2 -8.70394E-01 -3.10902E-01  0.00000E+00  1.00000E+00
     3  1.03365E+00  1.65415E-01  0.00000E+00  1.00000E+00
     1 -6.80019E-02  6.23410E-02  0.00000E+00  1.00000E+00
     2 -9.33098E-01 -2.73405E-01  0.00000E+00  1.00000E+00
     3  1.00062E+00  2.11064E-01  0.00000E+00  1.00000E+00
     1  2.54604E-02 -2.38553E-02  0.00000E+00  1.00000E+00
     2 -9.82573E-01 -2.30997E-01  0.00000E+00  1.00000E+00
     3  9.56622E-01  2.54852E-01  0.00000E+00  1.00000E+00
     1  1.19795E-01 -1.08904E-01  0.00000E+00  1.00000E+00
     2 -1.02037E+00 -1.86001E-01  0.00000E+00  1.00000E+00
     3  9.00073E-01  2.94905E-01  0.00000E+00  1.00000E+00
     1  2.17899E-01 -1.88466E-01  0.00000E+00  1.00000E+00
     2 -1.04802E+00 -1.39817E-01  0.00000E+00  1.00000E+00
     3  8.29615E-01  3.28281E-01  0.00000E+00  1.00000E+00
     1  3.21507E-01 -2.57689E-01  0.00000E+00  1.00000E+00
     2 -1.06683E+00 -9.31914E-02  0.00000E+00  1.00000E+00
     3  7.44808E-01  3.50879E-01  0.00000E+00  1.00000E+00
