#Time (in seconds) spent on performing the N-body simulation using the direct-sum and the Barnes-Hut algorithm, either parallelized(OpenMP and MPI) or not

Particles	t_ex1		t_barnes	      t_OMP		t_MPI
5		2		3			8		  2	
10		2		4			7		  2
25		3		5			9		  3
50		3		6			9		  4
100		5		7			24		  5
250		27		29			34		  9
500		108		71			51		  20
1000		441		172			90		  51	
