        Time         x1          y1          z1          x2          y2          z2          x3          y3          z3          x4          y4          z4          x5          y5          z5          x6          y6          z6          x7          y7          z7          x8          y8          z8          x9          y9          z9         x10         y10         z10         x11         y11         z11         x12         y12         z12         x13         y13         z13         x14         y14         z14         x15         y15         z15         x16         y16         z16         x17         y17         z17         x18         y18         z18         x19         y19         z19         x20         y20         z20         x21         y21         z21         x22         y22         z22         x23         y23         z23         x24         y24         z24         x25         y25         z25 
        0.11  8.1975E-01 -3.1080E-01 -3.0334E-01 -8.9141E-01 -5.4546E-02  4.0106E-01 -1.7000E-01  5.5332E-02 -6.3646E-01  7.8103E-01 -6.9960E-01 -5.9611E-01 -6.0587E-01  4.4964E-01 -1.3780E-01  2.1767E-01  7.0381E-02 -1.1013E-01 -1.7848E-01  1.6326E-01 -7.0605E-01 -1.9172E-01 -9.5627E-01 -6.7525E-01  5.7427E-02 -6.1649E-01  3.6135E-01 -9.6432E-02  8.0573E-01 -7.2732E-01 -3.1774E-01  7.4671E-03 -1.6127E-01 -8.2838E-01  1.3864E-01 -7.9276E-01  9.3393E-02 -6.4071E-01  3.6736E-01 -2.6324E-03  5.0018E-01 -3.2919E-01  2.2438E-01 -1.0608E+00  4.1084E-01 -8.8860E-01  3.1077E-02  3.8216E-01 -3.4334E-01  5.5375E-01 -4.8262E-01 -1.8032E-01  4.3339E-01 -3.2556E-02 -5.5140E-01 -4.6828E-01 -3.7107E-01 -4.0071E-02 -8.2494E-01  6.5006E-01 -7.3600E-02  5.0783E-01 -3.9480E-01 -6.5761E-01  7.6688E-02 -7.3398E-01 -2.8705E-01 -6.0644E-01  4.2364E-01 -5.1193E-01 -6.9577E-01  4.3532E-01 -4.6660E-01 -5.8848E-01  4.6772E-01
        0.12  8.2887E-01 -3.1258E-01 -3.0182E-01 -8.9945E-01 -5.3177E-02  3.9450E-01 -1.7647E-01  5.5683E-02 -6.2629E-01  7.7121E-01 -6.9827E-01 -5.9681E-01 -6.1030E-01  4.4911E-01 -1.4648E-01  2.1546E-01  6.6338E-02 -1.0184E-01 -1.7496E-01  1.5291E-01 -7.1020E-01 -1.8689E-01 -9.5387E-01 -6.6640E-01  4.7091E-02 -6.2331E-01  3.5805E-01 -9.3335E-02  8.0801E-01 -7.3015E-01 -3.0970E-01  1.3592E-02 -1.5506E-01 -8.3049E-01  1.2884E-01 -7.9355E-01  9.6836E-02 -6.4212E-01  3.7553E-01 -1.2860E-02  5.1170E-01 -3.2423E-01  2.2110E-01 -1.0666E+00  4.0586E-01 -8.8585E-01  3.3370E-02  3.7697E-01 -3.4645E-01  5.5440E-01 -4.8100E-01 -1.8227E-01  4.2694E-01 -3.3597E-02 -5.4347E-01 -4.7636E-01 -3.7232E-01 -3.5884E-02 -8.2392E-01  6.5070E-01 -8.0124E-02  5.1221E-01 -3.9201E-01 -6.6170E-01  8.0153E-02 -7.2819E-01 -2.8259E-01 -6.1153E-01  4.2674E-01 -5.0742E-01 -6.9770E-01  4.2780E-01 -4.6420E-01 -5.8854E-01  4.7688E-01
        0.13  8.3793E-01 -3.1436E-01 -3.0031E-01 -9.0736E-01 -5.1289E-02  3.8780E-01 -1.8298E-01  5.6175E-02 -6.1613E-01  7.6136E-01 -6.9690E-01 -5.9749E-01 -6.1462E-01  4.4851E-01 -1.5518E-01  2.1315E-01  6.2319E-02 -9.3593E-02 -1.7149E-01  1.4219E-01 -7.1392E-01 -1.8205E-01 -9.5143E-01 -6.5752E-01  3.6889E-02 -6.3021E-01  3.5482E-01 -9.0252E-02  8.1021E-01 -7.3292E-01 -3.0164E-01  1.9782E-02 -1.4890E-01 -8.3234E-01  1.1899E-01 -7.9422E-01  9.9936E-02 -6.4342E-01  3.8360E-01 -2.3682E-02  5.2313E-01 -3.1977E-01  2.1779E-01 -1.0724E+00  4.0088E-01 -8.8307E-01  3.5531E-02  3.7177E-01 -3.4944E-01  5.5494E-01 -4.7930E-01 -1.8423E-01  4.2044E-01 -3.4760E-02 -5.3550E-01 -4.8437E-01 -3.7356E-01 -3.1724E-02 -8.2287E-01  6.5128E-01 -8.6400E-02  5.1651E-01 -3.8887E-01 -6.6582E-01  8.3661E-02 -7.2238E-01 -2.7825E-01 -6.1664E-01  4.2982E-01 -5.0282E-01 -6.9952E-01  4.2027E-01 -4.6185E-01 -5.8895E-01  4.8583E-01
        0.14  8.4694E-01 -3.1614E-01 -2.9880E-01 -9.1508E-01 -4.8918E-02  3.8096E-01 -1.8951E-01  5.6790E-02 -6.0599E-01  7.5149E-01 -6.9551E-01 -5.9814E-01 -6.1884E-01  4.4786E-01 -1.6391E-01  2.1074E-01  5.8325E-02 -8.5381E-02 -1.6809E-01  1.3117E-01 -7.1718E-01 -1.7722E-01 -9.4894E-01 -6.4862E-01  2.6748E-02 -6.3712E-01  3.5165E-01 -8.7186E-02  8.1231E-01 -7.3562E-01 -2.9356E-01  2.6039E-02 -1.4279E-01 -8.3394E-01  1.0911E-01 -7.9476E-01  1.0280E-01 -6.4466E-01  3.9159E-01 -3.5093E-02  5.3442E-01 -3.1584E-01  2.1444E-01 -1.0781E+00  3.9589E-01 -8.8027E-01  3.7569E-02  3.6654E-01 -3.5232E-01  5.5538E-01 -4.7753E-01 -1.8620E-01  4.1388E-01 -3.6047E-02 -5.2750E-01 -4.9230E-01 -3.7478E-01 -2.7592E-02 -8.2178E-01  6.5179E-01 -9.2427E-02  5.2075E-01 -3.8537E-01 -6.6998E-01  8.7204E-02 -7.1657E-01 -2.7403E-01 -6.2177E-01  4.3289E-01 -4.9812E-01 -7.0123E-01  4.1277E-01 -4.5954E-01 -5.8964E-01  4.9455E-01
        0.15  8.5591E-01 -3.1792E-01 -2.9729E-01 -9.2257E-01 -4.6105E-02  3.7402E-01 -1.9606E-01  5.7512E-02 -5.9585E-01  7.4158E-01 -6.9407E-01 -5.9877E-01 -6.2296E-01  4.4714E-01 -1.7266E-01  2.0824E-01  5.4354E-02 -7.7207E-02 -1.6481E-01  1.1991E-01 -7.1998E-01 -1.7238E-01 -9.4640E-01 -6.3969E-01  1.6625E-02 -6.4403E-01  3.4852E-01 -8.4137E-02  8.1434E-01 -7.3825E-01 -2.8545E-01  3.2366E-02 -1.3673E-01 -8.3528E-01  9.9197E-02 -7.9515E-01  1.0547E-01 -6.4590E-01  3.9951E-01 -4.7083E-02  5.4550E-01 -3.1249E-01  2.1105E-01 -1.0838E+00  3.9089E-01 -8.7746E-01  3.9494E-02  3.6128E-01 -3.5508E-01  5.5571E-01 -4.7568E-01 -1.8819E-01  4.0725E-01 -3.7459E-02 -5.1947E-01 -5.0016E-01 -3.7599E-01 -2.3488E-02 -8.2065E-01  6.5224E-01 -9.8210E-02  5.2498E-01 -3.8148E-01 -6.7419E-01  9.0772E-02 -7.1075E-01 -2.6992E-01 -6.2691E-01  4.3593E-01 -4.9334E-01 -7.0283E-01  4.0528E-01 -4.5723E-01 -5.9058E-01  5.0303E-01
        0.16  8.6483E-01 -3.1970E-01 -2.9580E-01 -9.2981E-01 -4.2898E-02  3.6697E-01 -2.0263E-01  5.8323E-02 -5.8574E-01  7.3165E-01 -6.9261E-01 -5.9937E-01 -6.2699E-01  4.4635E-01 -1.8144E-01  2.0563E-01  5.0406E-02 -6.9071E-02 -1.6165E-01  1.0849E-01 -7.2233E-01 -1.6755E-01 -9.4382E-01 -6.3074E-01  6.4937E-03 -6.5094E-01  3.4544E-01 -8.1105E-02  8.1627E-01 -7.4081E-01 -2.7733E-01  3.8765E-02 -1.3072E-01 -8.3636E-01  8.9281E-02 -7.9540E-01  1.0801E-01 -6.4713E-01  4.0738E-01 -5.9641E-02  5.5627E-01 -3.0978E-01  2.0763E-01 -1.0894E+00  3.8589E-01 -8.7466E-01  4.1318E-02  3.5600E-01 -3.5773E-01  5.5594E-01 -4.7375E-01 -1.9018E-01  4.0057E-01 -3.8997E-02 -5.1140E-01 -5.0794E-01 -3.7718E-01 -1.9414E-02 -8.1949E-01  6.5262E-01 -1.0375E-01  5.2924E-01 -3.7715E-01 -6.7844E-01  9.4356E-02 -7.0493E-01 -2.6592E-01 -6.3207E-01  4.3895E-01 -4.8848E-01 -7.0435E-01  3.9781E-01 -4.5491E-01 -5.9172E-01  5.1127E-01
        0.17  8.7369E-01 -3.2148E-01 -2.9431E-01 -9.3677E-01 -3.9343E-02  3.5984E-01 -2.0921E-01  5.9207E-02 -5.7562E-01  7.2168E-01 -6.9111E-01 -5.9996E-01 -6.3090E-01  4.4550E-01 -1.9025E-01  2.0292E-01  4.6482E-02 -6.0974E-02 -1.5864E-01  9.6972E-02 -7.2425E-01 -1.6273E-01 -9.4118E-01 -6.2177E-01 -3.6639E-03 -6.5783E-01  3.4238E-01 -7.8094E-02  8.1813E-01 -7.4330E-01 -2.6919E-01  4.5241E-02 -1.2476E-01 -8.3720E-01  7.9377E-02 -7.9549E-01  1.1042E-01 -6.4836E-01  4.1520E-01 -7.2747E-02  5.6665E-01 -3.0777E-01  2.0417E-01 -1.0950E+00  3.8089E-01 -8.7185E-01  4.3053E-02  3.5067E-01 -3.6025E-01  5.5606E-01 -4.7172E-01 -1.9219E-01  3.9383E-01 -4.0662E-02 -5.0330E-01 -5.1566E-01 -3.7836E-01 -1.5370E-02 -8.1828E-01  6.5293E-01 -1.0907E-01  5.3357E-01 -3.7235E-01 -6.8273E-01  9.7945E-02 -6.9912E-01 -2.6202E-01 -6.3724E-01  4.4193E-01 -4.8354E-01 -7.0578E-01  3.9035E-01 -4.5256E-01 -5.9303E-01  5.1928E-01
        0.18  8.8251E-01 -3.2326E-01 -2.9282E-01 -9.4343E-01 -3.5484E-02  3.5263E-01 -2.1580E-01  6.0152E-02 -5.6550E-01  7.1169E-01 -6.8958E-01 -6.0052E-01 -6.3472E-01  4.4459E-01 -1.9908E-01  2.0011E-01  4.2581E-02 -5.2916E-02 -1.5577E-01  8.5401E-02 -7.2579E-01 -1.5790E-01 -9.3850E-01 -6.1276E-01 -1.3859E-02 -6.6471E-01  3.3936E-01 -7.5102E-02  8.1990E-01 -7.4572E-01 -2.6103E-01  5.1796E-02 -1.1886E-01 -8.3779E-01  6.9500E-02 -7.9541E-01  1.1272E-01 -6.4960E-01  4.2300E-01 -8.6370E-02  5.7651E-01 -3.0654E-01  2.0068E-01 -1.1005E+00  3.7588E-01 -8.6905E-01  4.4710E-02  3.4531E-01 -3.6266E-01  5.5608E-01 -4.6961E-01 -1.9422E-01  3.8702E-01 -4.2455E-02 -4.9518E-01 -5.2330E-01 -3.7952E-01 -1.1357E-02 -8.1704E-01  6.5318E-01 -1.1416E-01  5.3806E-01 -3.6703E-01 -6.8705E-01  1.0153E-01 -6.9333E-01 -2.5823E-01 -6.4242E-01  4.4487E-01 -4.7853E-01 -7.0714E-01  3.8292E-01 -4.5018E-01 -5.9446E-01  5.2707E-01
        0.19  8.9128E-01 -3.2504E-01 -2.9135E-01 -9.4981E-01 -3.1364E-02  3.4536E-01 -2.2240E-01  6.1152E-02 -5.5535E-01  7.0167E-01 -6.8802E-01 -6.0105E-01 -6.3843E-01  4.4362E-01 -2.0793E-01  1.9720E-01  3.8703E-02 -4.4899E-02 -1.5303E-01  7.3814E-02 -7.2699E-01 -1.5308E-01 -9.3577E-01 -6.0374E-01 -2.4102E-02 -6.7157E-01  3.3636E-01 -7.2132E-02  8.2160E-01 -7.4808E-01 -2.5285E-01  5.8435E-02 -1.1301E-01 -8.3814E-01  5.9668E-02 -7.9516E-01  1.1492E-01 -6.5084E-01  4.3077E-01 -1.0046E-01  5.8569E-01 -3.0617E-01  1.9716E-01 -1.1060E+00  3.7086E-01 -8.6626E-01  4.6301E-02  3.3991E-01 -3.6494E-01  5.5600E-01 -4.6740E-01 -1.9626E-01  3.8015E-01 -4.4376E-02 -4.8702E-01 -5.3088E-01 -3.8067E-01 -7.3763E-03 -8.1576E-01  6.5336E-01 -1.1907E-01  5.4279E-01 -3.6115E-01 -6.9141E-01  1.0510E-01 -6.8754E-01 -2.5454E-01 -6.4761E-01  4.4777E-01 -4.7344E-01 -7.0843E-01  3.7551E-01 -4.4776E-01 -5.9601E-01  5.3465E-01
        0.20  9.0000E-01 -3.2682E-01 -2.8987E-01 -9.5589E-01 -2.7019E-02  3.3803E-01 -2.2901E-01  6.2199E-02 -5.4519E-01  6.9163E-01 -6.8643E-01 -6.0156E-01 -6.4204E-01  4.4258E-01 -2.1681E-01  1.9418E-01  3.4850E-02 -3.6921E-02 -1.5043E-01  6.2237E-02 -7.2788E-01 -1.4826E-01 -9.3298E-01 -5.9468E-01 -3.4398E-02 -6.7840E-01  3.3340E-01 -6.9184E-02  8.2322E-01 -7.5037E-01 -2.4466E-01  6.5163E-02 -1.0722E-01 -8.3827E-01  4.9894E-02 -7.9475E-01  1.1702E-01 -6.5209E-01  4.3851E-01 -1.1493E-01  5.9398E-01 -3.0675E-01  1.9360E-01 -1.1114E+00  3.6584E-01 -8.6348E-01  4.7833E-02  3.3446E-01 -3.6710E-01  5.5582E-01 -4.6509E-01 -1.9832E-01  3.7320E-01 -4.6425E-02 -4.7883E-01 -5.3839E-01 -3.8179E-01 -3.4282E-03 -8.1444E-01  6.5347E-01 -1.2384E-01  5.4786E-01 -3.5466E-01 -6.9578E-01  1.0864E-01 -6.8177E-01 -2.5094E-01 -6.5281E-01  4.5061E-01 -4.6828E-01 -7.0965E-01  3.6811E-01 -4.4529E-01 -5.9764E-01  5.4203E-01
