        Time         x1          y1          z1          x2          y2          z2          x3          y3          z3          x4          y4          z4          x5          y5          z5          x6          y6          z6          x7          y7          z7          x8          y8          z8          x9          y9          z9         x10         y10         z10 
        0.12  8.8157E-02 -4.1429E-01 -6.8714E-01 -4.2542E-01  7.9870E-02 -1.0803E-01  5.7800E-01 -3.3848E-01 -1.6101E-01 -6.4650E-01 -4.3999E-01 -1.5108E-01  3.5481E-01 -6.8718E-01 -5.9833E-01  5.4812E-01  2.5815E-02 -9.5112E-01  4.2303E-01  3.9344E-02 -5.0606E-01 -8.2522E-01 -7.4156E-01 -7.0709E-01  6.3850E-01 -2.1016E-02 -8.2579E-01  9.0187E-01 -5.4970E-01 -7.7476E-01
        0.13  8.6014E-02 -4.0811E-01 -6.8179E-01 -4.2460E-01  7.0957E-02 -1.1220E-01  5.6822E-01 -3.3225E-01 -1.5655E-01 -6.5406E-01 -4.4334E-01 -1.4467E-01  3.5223E-01 -6.8920E-01 -5.9571E-01  5.4720E-01  2.1590E-02 -9.5042E-01  4.1733E-01  4.4575E-02 -4.9855E-01 -8.2358E-01 -7.4479E-01 -7.1583E-01  6.2972E-01 -1.8173E-02 -8.3640E-01  9.0861E-01 -5.4723E-01 -7.8083E-01
        0.14  8.4012E-02 -4.0194E-01 -6.7641E-01 -4.2376E-01  6.1981E-02 -1.1641E-01  5.5840E-01 -3.2601E-01 -1.5222E-01 -6.6156E-01 -4.4667E-01 -1.3828E-01  3.4964E-01 -6.9110E-01 -5.9312E-01  5.4661E-01  1.7137E-02 -9.4913E-01  4.1167E-01  4.9712E-02 -4.9118E-01 -8.2189E-01 -7.4799E-01 -7.2455E-01  6.2048E-01 -1.5203E-02 -8.4745E-01  9.1523E-01 -5.4469E-01 -7.8687E-01
        0.15  8.2149E-02 -3.9579E-01 -6.7099E-01 -4.2289E-01  5.2942E-02 -1.2065E-01  5.4854E-01 -3.1976E-01 -1.4802E-01 -6.6902E-01 -4.5000E-01 -1.3193E-01  3.4705E-01 -6.9289E-01 -5.9054E-01  5.4646E-01  1.2428E-02 -9.4711E-01  4.0605E-01  5.4754E-02 -4.8393E-01 -8.2016E-01 -7.5116E-01 -7.3323E-01  6.1071E-01 -1.2076E-02 -8.5908E-01  9.2174E-01 -5.4209E-01 -7.9289E-01
        0.16  8.0421E-02 -3.8966E-01 -6.6555E-01 -4.2199E-01  4.3840E-02 -1.2493E-01  5.3863E-01 -3.1349E-01 -1.4395E-01 -6.7644E-01 -4.5332E-01 -1.2559E-01  3.4446E-01 -6.9456E-01 -5.8799E-01  5.4692E-01  7.4270E-03 -9.4413E-01  4.0047E-01  5.9702E-02 -4.7681E-01 -8.1837E-01 -7.5430E-01 -7.4188E-01  6.0020E-01 -8.7494E-03 -8.7156E-01  9.2814E-01 -5.3942E-01 -7.9889E-01
        0.17  7.8827E-02 -3.8353E-01 -6.6008E-01 -4.2106E-01  3.4676E-02 -1.2923E-01  5.2868E-01 -3.0721E-01 -1.4001E-01 -6.8381E-01 -4.5663E-01 -1.1928E-01  3.4186E-01 -6.9611E-01 -5.8545E-01  5.4833E-01  2.0876E-03 -9.3974E-01  3.9492E-01  6.4557E-02 -4.6980E-01 -8.1654E-01 -7.5741E-01 -7.5050E-01  5.8862E-01 -5.1743E-03 -8.8535E-01  9.3444E-01 -5.3670E-01 -8.0487E-01
        0.18  7.7365E-02 -3.7743E-01 -6.5459E-01 -4.2010E-01  2.5449E-02 -1.3357E-01  5.1869E-01 -3.0091E-01 -1.3620E-01 -6.9114E-01 -4.5992E-01 -1.1300E-01  3.3926E-01 -6.9754E-01 -5.8293E-01  5.5162E-01 -3.5762E-03 -9.3268E-01  3.8940E-01  6.9317E-02 -4.6291E-01 -8.1466E-01 -7.6050E-01 -7.5909E-01  5.7496E-01 -1.3633E-03 -9.0180E-01  9.4064E-01 -5.3391E-01 -8.1083E-01
        0.19  7.6033E-02 -3.7133E-01 -6.4907E-01 -4.1911E-01  1.6161E-02 -1.3794E-01  5.0867E-01 -2.9460E-01 -1.3251E-01 -6.9842E-01 -4.6321E-01 -1.0674E-01  3.3665E-01 -6.9887E-01 -5.8043E-01  5.5830E-01  3.5386E-03 -9.2223E-01  3.8391E-01  7.3985E-02 -4.5613E-01 -8.1273E-01 -7.6355E-01 -7.6764E-01  5.5766E-01 -1.1182E-02 -9.2166E-01  9.4673E-01 -5.3108E-01 -8.1678E-01
        0.20  7.4828E-02 -3.6525E-01 -6.4354E-01 -4.1810E-01  6.8117E-03 -1.4235E-01  4.9860E-01 -2.8828E-01 -1.2896E-01 -7.0565E-01 -4.6649E-01 -1.0050E-01  3.3404E-01 -7.0008E-01 -5.7794E-01  5.4644E-01  1.7142E-02 -9.3698E-01  3.7845E-01  7.8559E-02 -4.4946E-01 -8.1076E-01 -7.6658E-01 -7.7617E-01  5.5991E-01 -2.7972E-02 -9.1470E-01  9.5272E-01 -5.2818E-01 -8.2270E-01
        0.21  7.3748E-02 -3.5918E-01 -6.3799E-01 -4.1705E-01 -2.5979E-03 -1.4678E-01  4.8849E-01 -2.8194E-01 -1.2552E-01 -7.1284E-01 -4.6976E-01 -9.4293E-02  3.3142E-01 -7.0118E-01 -5.7548E-01  5.3594E-01  2.4765E-02 -9.4923E-01  3.7300E-01  8.3040E-02 -4.4288E-01 -8.0874E-01 -7.6959E-01 -7.8467E-01  5.6065E-01 -3.8534E-02 -9.1021E-01  9.5862E-01 -5.2523E-01 -8.2860E-01
