 Body           x           y           z          vx          vy          vz             Time
  2         4.5183E-01  1.1727E+00  2.8164E-01 -6.6163E+00  2.5471E+00 -1.4038E-01        0.12
  3         1.3589E+00  3.4793E-01 -3.8053E-01 -3.6985E+00  6.8571E+00 -2.3996E-02        0.12
  4         1.7548E+00  1.6293E+00  5.0801E-01 -2.8430E+00  4.5633E+00  6.8139E-01        0.12
  5         2.5337E+00 -5.4068E-01 -6.0254E-01 -4.9090E-01  5.6698E+00 -6.7263E-01        0.12
  1         9.9069E-09  3.7851E-09  4.7562E-10  1.4152E-07  6.8970E-08  5.6308E-09        0.13
  2         3.8398E-01  1.1956E+00  2.7955E-01 -6.8142E+00  1.9864E+00 -2.7325E-01        0.13
  3         1.3193E+00  4.1657E-01 -3.8014E-01 -4.1476E+00  6.7288E+00  1.0358E-01        0.13
  4         1.7255E+00  1.6748E+00  5.1471E-01 -2.9620E+00  4.4503E+00  6.4642E-01        0.13
  5         2.5280E+00 -4.8327E-01 -6.0917E-01 -6.2789E-01  5.6975E+00 -6.3983E-01        0.13
  1         1.1381E-08  4.5228E-09  5.3260E-10  1.5025E-07  7.7173E-08  5.6423E-09        0.14
  2         3.1429E-01  1.2128E+00  2.7612E-01 -6.9804E+00  1.4128E+00 -4.0558E-01        0.14
  3         1.2751E+00  4.8376E-01 -3.7843E-01 -4.6004E+00  6.5715E+00  2.3599E-01        0.14
  4         1.6950E+00  1.7192E+00  5.2107E-01 -3.0774E+00  4.3358E+00  6.1148E-01        0.14
  5         2.5210E+00 -4.2560E-01 -6.1547E-01 -7.6690E-01  5.7226E+00 -6.0612E-01        0.14
  1         1.2941E-08  5.3457E-09  5.8938E-10  1.5868E-07  8.5859E-08  5.5909E-09        0.15
  2         2.4308E-01  1.2241E+00  2.7136E-01 -7.1146E+00  8.2606E-01 -5.3739E-01        0.15
  3         1.2264E+00  5.4921E-01 -3.7535E-01 -5.0557E+00  6.3834E+00  3.7320E-01        0.15
  4         1.6634E+00  1.7624E+00  5.2707E-01 -3.1893E+00  4.2199E+00  5.7656E-01        0.15
  5         2.5125E+00 -3.6768E-01 -6.2141E-01 -9.0792E-01  5.7448E+00 -5.7146E-01        0.15
  1         1.4585E-08  6.2588E-09  6.4533E-10  1.6677E-07  9.5054E-08  5.4769E-09        0.16
  2         1.7068E-01  1.2295E+00  2.6527E-01 -7.2158E+00  2.2576E-01 -6.6868E-01        0.16
  3         1.1730E+00  6.1259E-01 -3.7087E-01 -5.5121E+00  6.1623E+00  5.1516E-01        0.16
  4         1.6306E+00  1.8044E+00  5.3271E-01 -3.2977E+00  4.1025E+00  5.4168E-01        0.16
  5         2.5026E+00 -3.0956E-01 -6.2701E-01 -1.0510E+00  5.7641E+00 -5.3585E-01        0.16
  1         1.6308E-08  7.2675E-09  6.9981E-10  1.7449E-07  1.0479E-07  5.3008E-09        0.17
  2         9.7438E-02  1.2286E+00  2.5786E-01 -7.2827E+00 -3.8859E-01 -7.9942E-01        0.17
